"id","text_lower","arthur","merlin","guenever","launcelot","lady_of_the_lake","galahad","mordred","tristram","ector","igraine","morgan","uther","agravaine","alisander","andred","balin","beaumains","bedivere","blamore","bleoberis","bors","boudwin","breunor","colgrevance","cote","dinadan","elias","galahalt","gareth","gawaine","isoud","kay","king_mark","king_pellinore","lionel","mador","marhaus","meliagrance","nabon","palomides","percivale","segwarides","tor","uwaine","aglovale","bragwaine","elaine","gaheris","galihodin","griflet","lanceor","lancelot","linet","lamorak","frol","pelleas","pervivale","solomon","jousting","beasts","holy_grail","excalibur_and_scabbard"
1,"it befell in the days of uther pendragon, when he was king of all england, and so reigned, that there was a mighty duke in cornwall that held war against him long time. and the duke was called the duke of tintagil. and so by means king uther sent for this duke, charging him to bring his wife with him, for she was called a fair lady, and a passing wise, and her name was called igraine.    so when the duke and his wife were come unto the king, by the means of great lords they were accorded both. the king liked and loved this lady well, and he made them great cheer out of measure, and desired to have lain by her. but she was a passing good woman, and would not assent unto the king. and then she told the duke her husband, and said, i suppose that we were sent for that i should be dishonoured; wherefore, husband, i counsel you, that we depart from hence suddenly, that we may ride all night unto our own castle. and in like wise as she said so they departed, that neither the king nor none of his council were ware of their departing. all so soon as king uther knew of their departing so suddenly, he was wonderly wroth. then he called to him his privy council, and told them of the sudden departing of the duke and his wife.    then they advised the king to send for the duke and his wife by a great charge; and if he will not come at your summons, then may ye do your best, then have ye cause to make mighty war upon him. so that was done, and the messengers had their answers; and that was this shortly, that neither he nor his wife would not come at him.    then was the king wonderly wroth. and then the king sent him plain word again, and bade him be ready and stuff him and garnish him, for within forty days he would fetch him out of the biggest castle that he hath.    when the duke had this warning, anon he went and furnished and garnished two strong castles of his, of the which the one hight tintagil, and the other castle hight terrabil. so his wife dame igraine he put in the castle of tintagil, and himself he put in the castle of terrabil, the which had many issues and posterns out. then in all haste came uther with a great host, and laid a siege about the castle of terrabil. and there he pight many pavilions, and there was great war made on both parties, and much people slain. then for pure anger and for great love of fair igraine the king uther fell sick. so came to the king uther sir ulfius, a noble knight, and asked the king why he was sick. i shall tell thee, said the king, i am sick for anger and for love of fair igraine, that i may not be whole. well, my lord, said sir ulfius, i shall seek merlin, and he shall do you remedy, that your heart shall be pleased. so ulfius departed, and by adventure he met merlin in a beggar’s array, and there merlin asked ulfius whom he sought. and he said he had little ado to tell him. well, said merlin, i know whom thou seekest, for thou seekest merlin; therefore seek no farther, for i am he; and if king uther will well reward me, and be sworn unto me to fulfil my desire, that shall be his honour and profit more than mine; for i shall cause him to have all his desire. all this will i undertake, said ulfius, that there shall be nothing reasonable but thou shalt have thy desire. well, said merlin, he shall have his intent and desire. and therefore, said merlin, ride on your way, for i will not be long behind.","1","","1","1","1","1","1","1","1","","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
2,"then ulfius was glad, and rode on more than a pace till that he came to king uther pendragon, and told him he had met with merlin. where is he? said the king. sir, said ulfius, he will not dwell long. therewithal ulfius was ware where merlin stood at the porch of the pavilion’s door. and then merlin was bound to come to the king. when king uther saw him, he said he was welcome. sir, said merlin, i know all your heart every deal; so ye will be sworn unto me as ye be a true king anointed, to fulfil my desire, ye shall have your desire. then the king was sworn upon the four evangelists. sir, said merlin, this is my desire: the first night that ye shall lie by igraine ye shall get a child on her, and when that is born, that it shall be delivered to me for to nourish there as i will have it; for it shall be your worship, and the child’s avail, as mickle as the child is worth. i will well, said the king, as thou wilt have it. now make you ready, said merlin, this night ye shall lie with igraine in the castle of tintagil; and ye shall be like the duke her husband, ulfius shall be like sir brastias, a knight of the duke’s, and i will be like a knight that hight sir jordanus, a knight of the duke’s. but wait ye make not many questions with her nor her men, but say ye are diseased, and so hie you to bed, and rise not on the morn till i come to you, for the castle of tintagil is but ten miles hence; so this was done as they devised. but the duke of tintagil espied how the king rode from the siege of terrabil, and therefore that night he issued out of the castle at a postern for to have distressed the king’s host. and so, through his own issue, the duke himself was slain or ever the king came at the castle of tintagil.    so after the death of the duke, king uther lay with igraine more than three hours after his death, and begat on her that night arthur, and on day came merlin to the king, and bade him make him ready, and so he kissed the lady igraine and departed in all haste. but when the lady heard tell of the duke her husband, and by all record he was dead or ever king uther came to her, then she marvelled who that might be that lay with her in likeness of her lord; so she mourned privily and held her peace. then all the barons by one assent prayed the king of accord betwixt the lady igraine and him; the king gave them leave, for fain would he have been accorded with her. so the king put all the trust in ulfius to entreat between them, so by the entreaty at the last the king and she met together. now will we do well, said ulfius, our king is a lusty knight and wifeless, and my lady igraine is a passing fair lady; it were great joy unto us all, an it might please the king to make her his queen. unto that they all well accorded and moved it to the king. and anon, like a lusty knight, he assented thereto with good will, and so in all haste they were married in a morning with great mirth and joy.    and king lot of lothian and of orkney then wedded margawse that was gawaine’s mother, and king nentres of the land of garlot wedded elaine. all this was done at the request of king uther. and the third sister morgan le fay was put to school in a nunnery, and there she learned so much that she was a great clerk of necromancy. and after she was wedded to king uriens of the land of gore, that was sir ewain’s le blanchemain’s father.","","","1","1","1","1","1","1","1","","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
3,"then queen igraine waxed daily greater and greater, so it befell after within half a year, as king uther lay by his queen, he asked her, by the faith she owed to him, whose was the body; then she sore abashed to give answer. dismay you not, said the king, but tell me the truth, and i shall love you the better, by the faith of my body. sir, said she, i shall tell you the truth. the same night that my lord was dead, the hour of his death, as his knights record, there came into my castle of tintagil a man like my lord in speech and in countenance, and two knights with him in likeness of his two knights brastias and jordanus, and so i went unto bed with him as i ought to do with my lord, and the same night, as i shall answer unto god, this child was begotten upon me. that is truth, said the king, as ye say; for it was i myself that came in the likeness, and therefore dismay you not, for i am father of the child; and there he told her all the cause, how it was by merlin’s counsel. then the queen made great joy when she knew who was the father of her child.    soon came merlin unto the king, and said, sir, ye must purvey you for the nourishing of your child. as thou wilt, said the king, be it. well, said merlin, i know a lord of yours in this land, that is a passing true man and a faithful, and he shall have the nourishing of your child, and his name is sir ector, and he is a lord of fair livelihood in many parts in england and wales; and this lord, sir ector, let him be sent for, for to come and speak with you, and desire him yourself, as he loveth you, that he will put his own child to nourishing to another woman, and that his wife nourish yours. and when the child is born let it be delivered to me at yonder privy postern unchristened. so like as merlin devised it was done. and when sir ector was come he made fiaunce to the king for to nourish the child like as the king desired; and there the king granted sir ector great rewards. then when the lady was delivered, the king commanded two knights and two ladies to take the child, bound in a cloth of gold, and that ye deliver him to what poor man ye meet at the postern gate of the castle. so the child was delivered unto merlin, and so he bare it forth unto sir ector, and made an holy man to christen him, and named him arthur; and so sir ector’s wife nourished him with her own pap.","","","1","1","1","1","1","1","","","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
4,"then within two years king uther fell sick of a great malady. and in the meanwhile his enemies usurped upon him, and did a great battle upon his men, and slew many of his people. sir, said merlin, ye may not lie so as ye do, for ye must to the field though ye ride on an horse-litter: for ye shall never have the better of your enemies but if your person be there, and then shall ye have the victory. so it was done as merlin had devised, and they carried the king forth in an horse-litter with a great host towards his enemies. and at st. albans there met with the king a great host of the north. and that day sir ulfius and sir brastias did great deeds of arms, and king uther’s men overcame the northern battle and slew many people, and put the remnant to flight. and then the king returned unto london, and made great joy of his victory. and then he fell passing sore sick, so that three days and three nights he was speechless: wherefore all the barons made great sorrow, and asked merlin what counsel were best. there is none other remedy, said merlin, but god will have his will. but look ye all barons be before king uther to-morn, and god and i shall make him to speak. so on the morn all the barons with merlin came to-fore the king; then merlin said aloud unto king uther, sir, shall your son arthur be king after your days, of this realm with all the appurtenance? then uther pendragon turned him, and said in hearing of them all, i give him god’s blessing and mine, and bid him pray for my soul, and righteously and worshipfully that he claim the crown, upon forfeiture of my blessing; and therewith he yielded up the ghost, and then was he interred as longed to a king. wherefore the queen, fair igraine, made great sorrow, and all the barons.","","","1","1","1","1","1","1","1","","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
5,"then stood the realm in great jeopardy long while, for every lord that was mighty of men made him strong, and many weened to have been king. then merlin went to the archbishop of canterbury, and counselled him for to send for all the lords of the realm, and all the gentlemen of arms, that they should to london come by christmas, upon pain of cursing; and for this cause, that jesus, that was born on that night, that he would of his great mercy show some miracle, as he was come to be king of mankind, for to show some miracle who should be rightwise king of this realm. so the archbishop, by the advice of merlin, sent for all the lords and gentlemen of arms that they should come by christmas even unto london. and many of them made them clean of their life, that their prayer might be the more acceptable unto god. so in the greatest church of london, whether it were paul’s or not the french book maketh no mention, all the estates were long or day in the church for to pray. and when matins and the first mass was done, there was seen in the churchyard, against the high altar, a great stone four square, like unto a marble stone; and in midst thereof was like an anvil of steel a foot on high, and therein stuck a fair sword naked by the point, and letters there were written in gold about the sword that said thus:—whoso pulleth out this sword of this stone and anvil, is rightwise king born of all england. then the people marvelled, and told it to the archbishop.    i command, said the archbishop, that ye keep you within your church and pray unto god still, that no man touch the sword till the high mass be all done. so when all masses were done all the lords went to behold the stone and the sword. and when they saw the scripture some assayed, such as would have been king. but none might stir the sword nor move it. he is not here, said the archbishop, that shall achieve the sword, but doubt not god will make him known. but this is my counsel, said the archbishop, that we let purvey ten knights, men of good fame, and they to keep this sword. so it was ordained, and then there was made a cry, that every man should assay that would, for to win the sword. and upon new year’s day the barons let make a jousts and a tournament, that all knights that would joust or tourney there might play, and all this was ordained for to keep the lords together and the commons, for the archbishop trusted that god would make him known that should win the sword.    so upon new year’s day, when the service was done, the barons rode unto the field, some to joust and some to tourney, and so it happened that sir ector, that had great livelihood about london, rode unto the jousts, and with him rode sir kay his son, and young arthur that was his nourished brother; and sir kay was made knight at all hallowmass afore. so as they rode to the jousts-ward, sir kay lost his sword, for he had left it at his father’s lodging, and so he prayed young arthur for to ride for his sword. i will well, said arthur, and rode fast after the sword, and when he came home, the lady and all were out to see the jousting. then was arthur wroth, and said to himself, i will ride to the churchyard, and take the sword with me that sticketh in the stone, for my brother sir kay shall not be without a sword this day. so when he came to the churchyard, sir arthur alighted and tied his horse to the stile, and so he went to the tent, and found no knights there, for they were at the jousting. and so he handled the sword by the handles, and lightly and fiercely pulled it out of the stone, and took his horse and rode his way until he came to his brother sir kay, and delivered him the sword. and as soon as sir kay saw the sword, he wist well it was the sword of the stone, and so he rode to his father sir ector, and said: sir, lo here is the sword of the stone, wherefore i must be king of this land. when sir ector beheld the sword, he returned again and came to the church, and there they alighted all three, and went into the church. and anon he made sir kay swear upon a book how he came to that sword. sir, said sir kay, by my brother arthur, for he brought it to me. how gat ye this sword? said sir ector to arthur. sir, i will tell you. when i came home for my brother’s sword, i found nobody at home to deliver me his sword; and so i thought my brother sir kay should not be swordless, and so i came hither eagerly and pulled it out of the stone without any pain. found ye any knights about this sword? said sir ector. nay, said arthur. now, said sir ector to arthur, i understand ye must be king of this land. wherefore i, said arthur, and for what cause? sir, said ector, for god will have it so; for there should never man have drawn out this sword, but he that shall be rightwise king of this land. now let me see whether ye can put the sword there as it was, and pull it out again. that is no mastery, said arthur, and so he put it in the stone; wherewithal sir ector assayed to pull out the sword and failed.","","","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1"
6,"now assay, said sir ector unto sir kay. and anon he pulled at the sword with all his might; but it would not be. now shall ye assay, said sir ector to arthur. i will well, said arthur, and pulled it out easily. and therewithal sir ector knelt down to the earth, and sir kay. alas, said arthur, my own dear father and brother, why kneel ye to me? nay, nay, my lord arthur, it is not so; i was never your father nor of your blood, but i wot well ye are of an higher blood than i weened ye were. and then sir ector told him all, how he was betaken him for to nourish him, and by whose commandment, and by merlin’s deliverance.    then arthur made great dole when he understood that sir ector was not his father. sir, said ector unto arthur, will ye be my good and gracious lord when ye are king? else were i to blame, said arthur, for ye are the man in the world that i am most beholden to, and my good lady and mother your wife, that as well as her own hath fostered me and kept. and if ever it be god’s will that i be king as ye say, ye shall desire of me what i may do, and i shall not fail you; god forbid i should fail you sir, said sir ector, i will ask no more of you, but that ye will make my son, your foster brother, sir kay, seneschal of all your lands. that shall be done, said arthur, and more, by the faith of my body, that never man shall have that office but he, while he and i live. therewithal they went unto the archbishop, and told him how the sword was achieved, and by whom; and on twelfth-day all the barons came thither, and to assay to take the sword, who that would assay. but there afore them all, there might none take it out but arthur; wherefore there were many lords wroth, and said it was great shame unto them all and the realm, to be overgoverned with a boy of no high blood born. and so they fell out at that time that it was put off till candlemas and then all the barons should meet there again; but always the ten knights were ordained to watch the sword day and night, and so they set a pavilion over the stone and the sword, and five always watched. so at candlemas many more great lords came thither for to have won the sword, but there might none prevail. and right as arthur did at christmas, he did at candlemas, and pulled out the sword easily, whereof the barons were sore aggrieved and put it off in delay till the high feast of easter. and as arthur sped before, so did he at easter; yet there were some of the great lords had indignation that arthur should be king, and put it off in a delay till the feast of pentecost.    then the archbishop of canterbury by merlin’s providence let purvey then of the best knights that they might get, and such knights as uther pendragon loved best and most trusted in his days. and such knights were put about arthur as sir baudwin of britain, sir kay, sir ulfius, sir brastias. all these, with many other, were always about arthur, day and night, till the feast of pentecost.","","","1","1","1","1","1","1","","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
7,"and at the feast of pentecost all manner of men assayed to pull at the sword that would assay; but none might prevail but arthur, and pulled it out afore all the lords and commons that were there, wherefore all the commons cried at once, we will have arthur unto our king, we will put him no more in delay, for we all see that it is god’s will that he shall be our king, and who that holdeth against it, we will slay him. and therewithal they kneeled at once, both rich and poor, and cried arthur mercy because they had delayed him so long, and arthur forgave them, and took the sword between both his hands, and offered it upon the altar where the archbishop was, and so was he made knight of the best man that was there. and so anon was the coronation made. and there was he sworn unto his lords and the commons for to be a true king, to stand with true justice from thenceforth the days of this life. also then he made all lords that held of the crown to come in, and to do service as they ought to do. and many complaints were made unto sir arthur of great wrongs that were done since the death of king uther, of many lands that were bereaved lords, knights, ladies, and gentlemen. wherefore king arthur made the lands to be given again unto them that owned them.    when this was done, that the king had stablished all the countries about london, then he let make sir kay seneschal of england; and sir baudwin of britain was made constable; and sir ulfius was made chamberlain; and sir brastias was made warden to wait upon the north from trent forwards, for it was that time the most party the king’s enemies. but within few years after arthur won all the north, scotland, and all that were under their obeissance. also wales, a part of it, held against arthur, but he overcame them all, as he did the remnant, through the noble prowess of himself and his knights of the round table.","","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
8,"then the king removed into wales, and let cry a great feast that it should be holden at pentecost after the incoronation of him at the city of carlion. unto the feast came king lot of lothian and of orkney, with five hundred knights with him. also there came to the feast king uriens of gore with four hundred knights with him. also there came to that feast king nentres of garlot, with seven hundred knights with him. also there came to the feast the king of scotland with six hundred knights with him, and he was but a young man. also there came to the feast a king that was called the king with the hundred knights, but he and his men were passing well beseen at all points. also there came the king of carados with five hundred knights. and king arthur was glad of their coming, for he weened that all the kings and knights had come for great love, and to have done him worship at his feast; wherefore the king made great joy, and sent the kings and knights great presents. but the kings would none receive, but rebuked the messengers shamefully, and said they had no joy to receive no gifts of a beardless boy that was come of low blood, and sent him word they would none of his gifts, but that they were come to give him gifts with hard swords betwixt the neck and the shoulders: and therefore they came thither, so they told to the messengers plainly, for it was great shame to all them to see such a boy to have a rule of so noble a realm as this land was. with this answer the messengers departed and told to king arthur this answer. wherefore, by the advice of his barons, he took him to a strong tower with five hundred good men with him. and all the kings aforesaid in a manner laid a siege to-fore him, but king arthur was well victualed. and within fifteen days there came merlin among them into the city of carlion. then all the kings were passing glad of merlin, and asked him, for what cause is that boy arthur made your king? sirs, said merlin, i shall tell you the cause, for he is king uther pendragon’s son, born in wedlock, gotten on igraine, the duke’s wife of tintagil. then is he a bastard, they said all. nay, said merlin, after the death of the duke, more than three hours, was arthur begotten, and thirteen days after king uther wedded igraine; and therefore i prove him he is no bastard. and who saith nay, he shall be king and overcome all his enemies; and, or he die, he shall be long king of all england, and have under his obeissance wales, ireland, and scotland, and more realms than i will now rehearse. some of the kings had marvel of merlin’s words, and deemed well that it should be as he said; and some of them laughed him to scorn, as king lot; and more other called him a witch. but then were they accorded with merlin, that king arthur should come out and speak with the kings, and to come safe and to go safe, such surance there was made. so merlin went unto king arthur, and told him how he had done, and bade him fear not, but come out boldly and speak with them, and spare them not, but answer them as their king and chieftain; for ye shall overcome them all, whether they will or nill.","","","1","1","1","1","1","1","1","","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
9,"then king arthur came out of his tower, and had under his gown a jesseraunt of double mail, and there went with him the archbishop of canterbury, and sir baudwin of britain, and sir kay, and sir brastias: these were the men of most worship that were with him. and when they were met there was no meekness, but stout words on both sides; but always king arthur answered them, and said he would make them to bow an he lived. wherefore they departed with wrath, and king arthur bade keep them well, and they bade the king keep him well. so the king returned him to the tower again and armed him and all his knights. what will ye do? said merlin to the kings; ye were better for to stint, for ye shall not here prevail though ye were ten times so many. be we well advised to be afeared of a dream-reader? said king lot. with that merlin vanished away, and came to king arthur, and bade him set on them fiercely; and in the meanwhile there were three hundred good men, of the best that were with the kings, that went straight unto king arthur, and that comforted him greatly. sir, said merlin to arthur, fight not with the sword that ye had by miracle, till that ye see ye go unto the worse, then draw it out and do your best. so forthwithal king arthur set upon them in their lodging. and sir baudwin, sir kay, and sir brastias slew on the right hand and on the left hand that it was marvel; and always king arthur on horseback laid on with a sword, and did marvellous deeds of arms, that many of the kings had great joy of his deeds and hardiness.    then king lot brake out on the back side, and the king with the hundred knights, and king carados, and set on arthur fiercely behind him. with that sir arthur turned with his knights, and smote behind and before, and ever sir arthur was in the foremost press till his horse was slain underneath him. and therewith king lot smote down king arthur. with that his four knights received him and set him on horseback. then he drew his sword excalibur, but it was so bright in his enemies’ eyes, that it gave light like thirty torches. and therewith he put them a-back, and slew much people. and then the commons of carlion arose with clubs and staves and slew many knights; but all the kings held them together with their knights that were left alive, and so fled and departed. and merlin came unto arthur, and counselled him to follow them no further.","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",""
10,"so after the feast and journey, king arthur drew him unto london, and so by the counsel of merlin, the king let call his barons to council, for merlin had told the king that the six kings that made war upon him would in all haste be awroke on him and on his lands. wherefore the king asked counsel at them all. they could no counsel give, but said they were big enough. ye say well, said arthur; i thank you for your good courage, but will ye all that loveth me speak with merlin? ye know well that he hath done much for me, and he knoweth many things, and when he is afore you, i would that ye prayed him heartily of his best advice. all the barons said they would pray him and desire him. so merlin was sent for, and fair desired of all the barons to give them best counsel. i shall say you, said merlin, i warn you all, your enemies are passing strong for you, and they are good men of arms as be alive, and by this time they have gotten to them four kings more, and a mighty duke; and unless that our king have more chivalry with him than he may make within the bounds of his own realm, an he fight with them in battle, he shall be overcome and slain. what were best to do in this cause? said all the barons. i shall tell you, said merlin, mine advice; there are two brethren beyond the sea, and they be kings both, and marvellous good men of their hands; and that one hight king ban of benwick, and that other hight king bors of gaul, that is france. and on these two kings warreth a mighty man of men, the king claudas, and striveth with them for a castle, and great war is betwixt them. but this claudas is so mighty of goods whereof he getteth good knights, that he putteth these two kings most part to the worse; wherefore this is my counsel, that our king and sovereign lord send unto the kings ban and bors by two trusty knights with letters well devised, that an they will come and see king arthur and his court, and so help him in his wars, that he will be sworn unto them to help them in their wars against king claudas. now, what say ye unto this counsel? said merlin. this is well counselled, said the king and all the barons.    right so in all haste there were ordained to go two knights on the message unto the two kings. so were there made letters in the pleasant wise according unto king arthur’s desire. ulfius and brastias were made the messengers, and so rode forth well horsed and well armed and as the guise was that time, and so passed the sea and rode toward the city of benwick. and there besides were eight knights that espied them, and at a strait passage they met with ulfius and brastias, and would have taken them prisoners; so they prayed them that they might pass, for they were messengers unto king ban and bors sent from king arthur. therefore, said the eight knights, ye shall die or be prisoners, for we be knights of king claudas. and therewith two of them dressed their spears, and ulfius and brastias dressed their spears, and ran together with great raundon. and claudas’ knights brake their spears, and theirs to-held and bare the two knights out of their saddles to the earth, and so left them lying, and rode their ways. and the other six knights rode afore to a passage to meet with them again, and so ulfius and brastias smote other two down, and so passed on their ways. and at the fourth passage there met two for two, and both were laid unto the earth; so there was none of the eight knights but he was sore hurt or bruised. and when they come to benwick it fortuned there were both kings, ban and bors.    and when it was told the kings that there were come messengers, there were sent unto them two knights of worship, the one hight lionses, lord of the country of payarne, and sir phariance a worshipful knight. anon they asked from whence they came, and they said from king arthur, king of england; so they took them in their arms and made great joy each of other. but anon, as the two kings wist they were messengers of arthur’s, there was made no tarrying, but forthwith they spake with the knights, and welcomed them in the faithfullest wise, and said they were most welcome unto them before all the kings living; and therewith they kissed the letters and delivered them. and when ban and bors understood the letters, then they were more welcome than they were before. and after the haste of the letters they gave them this answer, that they would fulfil the desire of king arthur’s writing, and ulfius and brastias, tarry there as long as they would, they should have such cheer as might be made them in those marches. then ulfius and brastias told the kings of the adventure at their passages of the eight knights. ha! ah! said ban and bors, they were my good friends. i would i had wist of them; they should not have escaped so. so ulfius and brastias had good cheer and great gifts, as much as they might bear away; and had their answer by mouth and by writing, that those two kings would come unto arthur in all the haste that they might. so the two knights rode on afore, and passed the sea, and came to their lord, and told him how they had sped, whereof king arthur was passing glad. at what time suppose ye the two kings will be here? sir, said they, afore all hallowmass. then the king let purvey for a great feast, and let cry a great jousts. and by all hallowmass the two kings were come over the sea with three hundred knights well arrayed both for the peace and for the war. and king arthur met with them ten mile out of london, and there was great joy as could be thought or made. and on all hallowmass at the great feast, sat in the hall the three kings, and sir kay seneschal served in the hall, and sir lucas the butler, that was duke corneus’ son, and sir griflet, that was the son of cardol, these three knights had the rule of all the service that served the kings. and anon, as they had washen and risen, all knights that would joust made them ready; by then they were ready on horseback there were seven hundred knights. and arthur, ban, and bors, with the archbishop of canterbury, and sir ector, kay’s father, they were in a place covered with cloth of gold like an hall, with ladies and gentlewomen, for to behold who did best, and thereon to give judgment.","","","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","1","1","1"
